Bootstrap_Run,Metric,Improvement,Positive_Means
33,Macro_AUPRC,0.05474647275730893,Higher CatBoost value is better
33,Log_Loss,-0.009445094421426492,Lower CatBoost value is better
33,Multiclass_Brier_Score,2.768254183338481e-05,Lower CatBoost value is better
34,Accuracy,0.029787234042553234,Higher CatBoost value is better
34,Balanced_Accuracy,0.028681318681318735,Higher CatBoost value is better
34,Macro_F1,0.031166264633885943,Higher CatBoost value is better
34,MCC,0.03650565167833797,Higher CatBoost value is better
34,Macro_Specificity,0.012827622631544244,Higher CatBoost value is better
34,Macro_AUROC,0.03932790521025831,Higher CatBoost value is better
34,Macro_AUPRC,0.0363369509671021,Higher CatBoost value is better
34,Log_Loss,-0.00984587889508759,Lower CatBoost value is better
34,Multiclass_Brier_Score,0.004931738675381547,Lower CatBoost value is better
35,Accuracy,0.008333333333333304,Higher CatBoost value is better
35,Balanced_Accuracy,0.00836044811948422,Higher CatBoost value is better
35,Macro_F1,0.01067378872235658,Higher CatBoost value is better
35,MCC,0.007790956123584047,Higher CatBoost value is better
35,Macro_Specificity,0.0035828742036169148,Higher CatBoost value is better
35,Macro_AUROC,0.018260469084644515,Higher CatBoost value is better
35,Macro_AUPRC,-0.0013606142256215037,Higher CatBoost value is better
35,Log_Loss,-0.03778287752755516,Lower CatBoost value is better
35,Multiclass_Brier_Score,-0.01719965212013075,Lower CatBoost value is better
36,Accuracy,0.008510638297872353,Higher CatBoost value is better
36,Balanced_Accuracy,0.004123939179632163,Higher CatBoost value is better
36,Macro_F1,0.011900249891920733,Higher CatBoost value is better
36,MCC,-0.0013207801669619101,Higher CatBoost value is better
36,Macro_Specificity,-0.0005202588863233437,Higher CatBoost value is better
36,Macro_AUROC,0.017576780415622606,Higher CatBoost value is better
36,Macro_AUPRC,0.0002371946862490537,Higher CatBoost value is better
36,Log_Loss,-0.05555843202969013,Lower CatBoost value is better
36,Multiclass_Brier_Score,-0.0226637115257044,Lower CatBoost value is better
37,Accuracy,-0.004166666666666652,Higher CatBoost value is better
37,Balanced_Accuracy,-0.0017841102233117079,Higher CatBoost value is better
37,Macro_F1,0.0017754661272280092,Higher CatBoost value is better
