Model,State,Point,False_Positive_Rate,True_Positive_Rate,Threshold,State_AUROC
CatBoost,2,49,0.5508982035928144,1.0,0.0340687247402958,0.9432898908066221
CatBoost,2,50,1.0,1.0,0.0038888588302131,0.9432898908066221
CatBoost,3,1,0.0,0.0,,0.8166615992702949
CatBoost,3,2,0.0,0.010869565217391304,0.980028299055064,0.8166615992702949
CatBoost,3,3,0.0,0.021739130434782608,0.9618141028162108,0.8166615992702949
CatBoost,3,4,0.006993006993006993,0.021739130434782608,0.9585025116786208,0.8166615992702949
CatBoost,3,5,0.006993006993006993,0.05434782608695652,0.9328270760670058,0.8166615992702949
CatBoost,3,6,0.013986013986013986,0.05434782608695652,0.931740605658798,0.8166615992702949
CatBoost,3,7,0.013986013986013986,0.08695652173913043,0.9124554463407476,0.8166615992702949
CatBoost,3,8,0.02097902097902098,0.08695652173913043,0.9103796418370786,0.8166615992702949
CatBoost,3,9,0.02097902097902098,0.10869565217391304,0.9075170978053816,0.8166615992702949
CatBoost,3,10,0.027972027972027972,0.10869565217391304,0.9031074779869996,0.8166615992702949
CatBoost,3,11,0.027972027972027972,0.42391304347826086,0.7840563323846681,0.8166615992702949
CatBoost,3,12,0.03496503496503497,0.42391304347826086,0.7605266951090676,0.8166615992702949
CatBoost,3,13,0.03496503496503497,0.43478260869565216,0.7585750853223837,0.8166615992702949
CatBoost,3,14,0.04195804195804196,0.43478260869565216,0.7513681239541282,0.8166615992702949
CatBoost,3,15,0.04195804195804196,0.45652173913043476,0.7423307103330088,0.8166615992702949
CatBoost,3,16,0.04895104895104895,0.45652173913043476,0.7343630346827167,0.8166615992702949
CatBoost,3,17,0.04895104895104895,0.5108695652173914,0.6982686546766306,0.8166615992702949
CatBoost,3,18,0.055944055944055944,0.5108695652173914,0.6947750480760543,0.8166615992702949
CatBoost,3,19,0.055944055944055944,0.532608695652174,0.5847629476443366,0.8166615992702949
CatBoost,3,20,0.06293706293706294,0.532608695652174,0.5798085133781057,0.8166615992702949
CatBoost,3,21,0.06293706293706294,0.5434782608695652,0.566400606532255,0.8166615992702949
CatBoost,3,22,0.07692307692307693,0.5434782608695652,0.5280040721316953,0.8166615992702949
CatBoost,3,23,0.07692307692307693,0.5652173913043478,0.4852353956564319,0.8166615992702949
CatBoost,3,24,0.08391608391608392,0.5652173913043478,0.4786304545770143,0.8166615992702949
CatBoost,3,25,0.08391608391608392,0.6086956521739131,0.4597126431326365,0.8166615992702949
CatBoost,3,26,0.1048951048951049,0.6086956521739131,0.4283511662681188,0.8166615992702949
CatBoost,3,27,0.1048951048951049,0.6195652173913043,0.426593400926191,0.8166615992702949
CatBoost,3,28,0.1258741258741259,0.6195652173913043,0.4149786279890951,0.8166615992702949
CatBoost,3,29,0.1258741258741259,0.6304347826086957,0.4135182779779858,0.8166615992702949
CatBoost,3,30,0.13286713286713286,0.6304347826086957,0.4035445358770465,0.8166615992702949
CatBoost,3,31,0.13286713286713286,0.6521739130434783,0.394463436435424,0.8166615992702949
CatBoost,3,32,0.14685314685314685,0.6521739130434783,0.3734396738357103,0.8166615992702949
CatBoost,3,33,0.14685314685314685,0.6630434782608695,0.3447648845439162,0.8166615992702949
CatBoost,3,34,0.15384615384615385,0.6630434782608695,0.3447251131604339,0.8166615992702949
CatBoost,3,35,0.15384615384615385,0.6847826086956522,0.3334708607002243,0.8166615992702949
CatBoost,3,36,0.16783216783216784,0.6847826086956522,0.3249068216764305,0.8166615992702949
CatBoost,3,37,0.16783216783216784,0.6956521739130435,0.3137671165299122,0.8166615992702949
CatBoost,3,38,0.17482517482517482,0.6956521739130435,0.3099742274939456,0.8166615992702949
CatBoost,3,39,0.17482517482517482,0.7065217391304348,0.3090488310838856,0.8166615992702949
CatBoost,3,40,0.18181818181818182,0.7065217391304348,0.3089403872888017,0.8166615992702949
CatBoost,3,41,0.18181818181818182,0.717391304347826,0.2974200943057778,0.8166615992702949
CatBoost,3,42,0.1958041958041958,0.717391304347826,0.2887014737386881,0.8166615992702949
CatBoost,3,43,0.1958041958041958,0.7391304347826086,0.2743939373139033,0.8166615992702949
CatBoost,3,44,0.2097902097902098,0.7391304347826086,0.2710331994796688,0.8166615992702949
CatBoost,3,45,0.2097902097902098,0.75,0.2696455166608162,0.8166615992702949
CatBoost,3,46,0.26573426573426573,0.75,0.2450731564687194,0.8166615992702949
CatBoost,3,47,0.26573426573426573,0.7608695652173914,0.2433593450982648,0.8166615992702949
CatBoost,3,48,0.2727272727272727,0.7608695652173914,0.2389009476896459,0.8166615992702949
CatBoost,3,49,0.2727272727272727,0.7717391304347826,0.2381702223528738,0.8166615992702949
CatBoost,3,50,0.2867132867132867,0.7717391304347826,0.2349787325888034,0.8166615992702949
CatBoost,3,51,0.2867132867132867,0.782608695652174,0.2343131585864676,0.8166615992702949
CatBoost,3,52,0.3146853146853147,0.782608695652174,0.2167913339175565,0.8166615992702949
CatBoost,3,53,0.3146853146853147,0.7934782608695652,0.2154106596917533,0.8166615992702949
CatBoost,3,54,0.3356643356643357,0.7934782608695652,0.2090212989162742,0.8166615992702949
CatBoost,3,55,0.3356643356643357,0.8043478260869565,0.2089114768198899,0.8166615992702949
CatBoost,3,56,0.34965034965034963,0.8043478260869565,0.2075749219934169,0.8166615992702949
CatBoost,3,57,0.34965034965034963,0.8152173913043478,0.2033320935975663,0.8166615992702949
CatBoost,3,58,0.38461538461538464,0.8152173913043478,0.1853090355831333,0.8166615992702949
CatBoost,3,59,0.38461538461538464,0.8260869565217391,0.1818361714418007,0.8166615992702949
CatBoost,3,60,0.45454545454545453,0.8260869565217391,0.156214320070481,0.8166615992702949
CatBoost,3,61,0.45454545454545453,0.8369565217391305,0.1561747667637899,0.8166615992702949
CatBoost,3,62,0.46153846153846156,0.8369565217391305,0.15571741416273,0.8166615992702949
CatBoost,3,63,0.46153846153846156,0.8478260869565217,0.1554465340792837,0.8166615992702949
CatBoost,3,64,0.4755244755244755,0.8478260869565217,0.1497008254362916,0.8166615992702949
CatBoost,3,65,0.4755244755244755,0.8586956521739131,0.1488991078396207,0.8166615992702949
