Model,State,Threshold,Model_Net_Benefit,Treat_All_Net_Benefit,Treat_None_Net_Benefit,State_Prevalence,Interpretation
CatBoost,2,0.99,0.0,-70.06382978723398,0.0,0.28936170212765955,One-versus-rest ecological decision utility
CatBoost,3,0.01,0.38538577261981516,0.38534278959810875,0.0,0.39148936170212767,One-versus-rest ecological decision utility
CatBoost,3,0.02,0.37976552323056884,0.37907077724706906,0.0,0.39148936170212767,One-versus-rest ecological decision utility
CatBoost,3,0.03,0.37451195437595963,0.3726694450537399,0.0,0.39148936170212767,One-versus-rest ecological decision utility
CatBoost,3,0.04,0.3695035460992908,0.36613475177304966,0.0,0.39148936170212767,One-versus-rest ecological decision utility
CatBoost,3,0.05,0.3603583426651736,0.3594624860022396,0.0,0.39148936170212767,One-versus-rest ecological decision utility
CatBoost,3,0.060000000000000005,0.3466727025803531,0.35264825712992304,0.0,0.39148936170212767,One-versus-rest ecological decision utility
CatBoost,3,0.06999999999999999,0.34317089910775567,0.34568748570121255,0.0,0.39148936170212767,One-versus-rest ecological decision utility
CatBoost,3,0.08,0.32673450508788154,0.3385753931544866,0.0,0.39148936170212767,One-versus-rest ecological decision utility
CatBoost,3,0.09,0.31536123451017073,0.331306990881459,0.0,0.39148936170212767,One-versus-rest ecological decision utility
CatBoost,3,0.09999999999999999,0.3040189125295508,0.32387706855791965,0.0,0.39148936170212767,One-versus-rest ecological decision utility
CatBoost,3,0.11,0.3005498446091322,0.31628018168778393,0.0,0.39148936170212767,One-versus-rest ecological decision utility
CatBoost,3,0.12,0.293036750483559,0.30851063829787234,0.0,0.39148936170212767,One-versus-rest ecological decision utility
CatBoost,3,0.13,0.2950843727072634,0.3005624847150893,0.0,0.39148936170212767,One-versus-rest ecological decision utility
