Model,State,Bin,Count,Probability_Minimum,Probability_Maximum,Mean_Predicted_Probability,Observed_Fraction,Absolute_Calibration_Gap
CNN-LSTM,3,1,24,0.0009602331556379,0.0352241918444633,0.020394916112612266,0.08333333333333333,0.06293841722072106
CNN-LSTM,3,2,23,0.036156415939331,0.0660799816250801,0.05108979247186491,0.17391304347826086,0.12282325100639596
CNN-LSTM,3,3,24,0.0665973499417305,0.0928017795085907,0.0812895378718773,0.3333333333333333,0.252043795461456
CNN-LSTM,3,4,23,0.0931178256869316,0.1269419640302658,0.1080208291178164,0.21739130434782608,0.10937047523000969
CNN-LSTM,3,5,24,0.1295012831687927,0.1845832467079162,0.15110418138404683,0.16666666666666666,0.015562485282619831
CNN-LSTM,3,6,23,0.1880823969841003,0.2923080027103424,0.23106451202993802,0.2608695652173913,0.029805053187453273
CNN-LSTM,3,7,23,0.293255090713501,0.4751844406127929,0.3847705022148464,0.34782608695652173,0.03694441525832465
CNN-LSTM,3,8,24,0.5068085193634033,0.7207556366920471,0.6114090705911318,0.625,0.013590929408868191
CNN-LSTM,3,9,23,0.728509783744812,0.8563348054885864,0.7935562237449314,0.8695652173913043,0.07600899364637292
CNN-LSTM,3,10,24,0.8587744235992432,0.9940756559371948,0.9398513063788414,0.8333333333333334,0.10651797304550803
TCN,1,1,24,1.4234752825359465e-06,0.002315871650353,0.0007235098444245087,0.0,0.0007235098444245087
TCN,1,2,23,0.0023716492578387,0.0088919308036565,0.004814498187245188,0.0,0.004814498187245188
TCN,1,3,24,0.0091791041195392,0.0161443576216697,0.013046301164043405,0.0,0.013046301164043405
TCN,1,4,23,0.0162443444132804,0.0326009802520275,0.026036589527907536,0.043478260869565216,0.01744167134165768
TCN,1,5,24,0.0337650440633297,0.0817697644233703,0.05289616497854388,0.041666666666666664,0.011229498311877216
TCN,1,6,23,0.0838773623108863,0.2631724178791046,0.19029937814111292,0.30434782608695654,0.11404844794584362
TCN,1,7,23,0.271559864282608,0.5137729048728943,0.38446507376173267,0.6521739130434783,0.2677088392817456
TCN,1,8,24,0.5227143168449402,0.7061754465103149,0.6272162273526192,0.8333333333333334,0.2061171059807142
TCN,1,9,23,0.7080792784690857,0.8385372757911682,0.7739099315975023,0.6521739130434783,0.12173601855402405
TCN,1,10,24,0.8401904702186584,0.9814496040344238,0.9107100144028664,0.6666666666666666,0.24404334773619973
TCN,2,1,24,0.0008168407948687,0.0089688012376427,0.004935538624219233,0.0,0.004935538624219233
TCN,2,2,23,0.0090263308957219,0.0239665806293487,0.01589692720090561,0.0,0.01589692720090561
TCN,2,3,24,0.0240693446248769,0.0424096584320068,0.03224754038577273,0.041666666666666664,0.009419126280893933
TCN,2,4,23,0.0424976572394371,0.0730161741375923,0.056334560008152644,0.043478260869565216,0.012856299138587428
TCN,2,5,24,0.0779280737042427,0.1350416243076324,0.10640713479369875,0.041666666666666664,0.06474046812703207
TCN,2,6,23,0.1362366676330566,0.2922943532466888,0.19827438307845072,0.08695652173913043,0.11131786133932028
TCN,2,7,23,0.2925164401531219,0.512077808380127,0.38578130369601044,0.30434782608695654,0.0814334776090539
TCN,2,8,24,0.529535174369812,0.7750164866447449,0.6599186435341835,0.625,0.0349186435341835
TCN,2,9,23,0.7801967859268188,0.928563356399536,0.8635727167129517,0.782608695652174,0.08096402106077771
TCN,2,10,24,0.9292699098587036,0.9979507327079772,0.9583244522412618,0.9583333333333334,8.881092071533203e-06
TCN,3,1,24,0.0013502844376489,0.0368447750806808,0.02007190349104344,0.125,0.10492809650895656
TCN,3,2,23,0.0378375984728336,0.0717478320002555,0.056144458606191265,0.13043478260869565,0.07429032400250438
TCN,3,3,24,0.0745958909392356,0.1209125965833664,0.09610258322209114,0.3333333333333333,0.23723075011124217
TCN,3,4,23,0.123822882771492,0.1596769988536834,0.14182771547980927,0.30434782608695654,0.16252011060714727
TCN,3,5,24,0.1610873192548751,0.2538567781448364,0.2119802112380663,0.125,0.08698021123806629
TCN,3,6,23,0.2545851171016693,0.348120242357254,0.2993856448194255,0.043478260869565216,0.25590738394986023
TCN,3,7,23,0.3562581241130829,0.5671572089195251,0.47577216573383496,0.5652173913043478,0.08944522557051282
TCN,3,8,24,0.5773396492004395,0.711376428604126,0.6489782134691874,0.625,0.02397821346918738
TCN,3,9,23,0.7122809886932373,0.8933977484703064,0.8178597170373668,0.7391304347826086,0.07872928225475817
TCN,3,10,24,0.9003833532333374,0.9991816878318788,0.9531654094656309,0.9166666666666666,0.03649874279896426
XGBoost,1,1,24,0.0010118777863681,0.0068273670040071,0.004631031299747179,0.0,0.004631031299747179
XGBoost,1,2,23,0.0068672304041683,0.0098591055721044,0.008016133296262913,0.0,0.008016133296262913
XGBoost,1,3,24,0.010144836269319,0.0167644415050745,0.0129147638411571,0.0,0.0129147638411571
XGBoost,1,4,23,0.0170576218515634,0.0251948349177837,0.02094303929935327,0.0,0.02094303929935327
XGBoost,1,5,24,0.0256845261901617,0.0414073765277862,0.032841720307866674,0.041666666666666664,0.00882494635879999
XGBoost,1,6,23,0.0432728081941604,0.4522872269153595,0.20674205231277834,0.34782608695652173,0.1410840346437434
XGBoost,1,7,23,0.4764910340309143,0.6745355725288391,0.5913909401582635,0.7391304347826086,0.1477394946243451
XGBoost,1,8,24,0.675819456577301,0.7578967213630676,0.7116025115052859,0.6666666666666666,0.04493584483861923
XGBoost,1,9,23,0.7618882060050964,0.8457922339439392,0.7996288823044818,0.6086956521739131,0.19093323013056873
XGBoost,1,10,24,0.8472841382026672,0.955353021621704,0.9084460958838463,0.7916666666666666,0.11677942921717965
XGBoost,2,1,24,0.0022110601421445,0.0094612343236804,0.0061241220294807825,0.0,0.0061241220294807825
XGBoost,2,2,23,0.0095564257353544,0.0173780769109725,0.014167445468837745,0.0,0.014167445468837745
XGBoost,2,3,24,0.0177292469888925,0.0252779945731163,0.020442818679536335,0.0,0.020442818679536335
XGBoost,2,4,23,0.0263653919100761,0.0402764230966568,0.03249575181499766,0.0,0.03249575181499766
XGBoost,2,5,24,0.0413781777024269,0.0821551159024238,0.056678469448039885,0.16666666666666666,0.10998819721862677
XGBoost,2,6,23,0.0826371908187866,0.1528307348489761,0.11502679502186564,0.043478260869565216,0.07154853415230042
XGBoost,2,7,23,0.1681782007217407,0.4636883437633514,0.2934542972108592,0.34782608695652173,0.054371789745662535
XGBoost,2,8,24,0.4878976047039032,0.8878229856491089,0.6666568418343862,0.5416666666666666,0.1249901751677196
XGBoost,2,9,23,0.8970071077346802,0.9408168196678162,0.916483752105547,0.9130434782608695,0.0034402738446774883
XGBoost,2,10,24,0.9419680833816528,0.9909207820892334,0.9638155624270439,0.875,0.08881556242704391
XGBoost,3,1,24,0.0066748936660587,0.0409242212772369,0.026926757166317303,0.08333333333333333,0.056406576167016026
XGBoost,3,2,23,0.0415890701115131,0.0724531710147857,0.05543964874485261,0.17391304347826086,0.11847339473340826
XGBoost,3,3,24,0.0731525421142578,0.1229232922196388,0.09139502265801029,0.16666666666666666,0.07527164400865637
XGBoost,3,4,23,0.1250045001506805,0.1831281930208206,0.1536852270364761,0.391304347826087,0.23761912078961087
XGBoost,3,5,24,0.1866686791181564,0.2359777390956878,0.21279816267391047,0.2916666666666667,0.07886850399275622
XGBoost,3,6,23,0.2490512430667877,0.312728077173233,0.279165708500406,0.2608695652173913,0.01829614328301471
XGBoost,3,7,23,0.3134437203407287,0.4785735607147217,0.37054692273554596,0.2608695652173913,0.10967735751815466
XGBoost,3,8,24,0.486487478017807,0.7819697856903076,0.6308253966271877,0.5416666666666666,0.0891587299605211
XGBoost,3,9,23,0.7870808243751526,0.882681131362915,0.845819714276687,0.9130434782608695,0.0672237639841825
XGBoost,3,10,24,0.8969558477401733,0.9790741205215454,0.9385196790099144,0.8333333333333334,0.10518634567658103
HistGradientBoosting,1,1,24,8.659532483517623e-09,8.321373520164485e-06,2.220798711157914e-06,0.0,2.220798711157914e-06
HistGradientBoosting,1,2,23,9.544269767631668e-06,8.863956794408563e-05,3.939030422312398e-05,0.0,3.939030422312398e-05
HistGradientBoosting,1,3,24,9.22076165364813e-05,0.000260118508325,0.00018012921590165464,0.0,0.00018012921590165464
HistGradientBoosting,1,4,23,0.0002982619368626,0.0007776263224941,0.00048686413595040436,0.0,0.00048686413595040436
HistGradientBoosting,1,5,24,0.0008389734137165,0.0036492953994503,0.0018254076156014752,0.041666666666666664,0.03984125905106519
HistGradientBoosting,1,6,23,0.003850385299954,0.2576624698760657,0.04799766839435206,0.34782608695652173,0.2998284185621697
HistGradientBoosting,1,7,23,0.3208557068751284,0.6658488250842602,0.4769649197566668,0.5652173913043478,0.08825247154768096
HistGradientBoosting,1,8,24,0.67106090787766,0.96633619973506,0.8261290076825513,0.6666666666666666,0.15946234101588463
HistGradientBoosting,1,9,23,0.9705060757395644,0.9953814391315836,0.9871097036146262,0.9130434782608695,0.07406622535375673
HistGradientBoosting,1,10,24,0.9962491112824376,0.9999966939174926,0.9987934583726729,0.6666666666666666,0.33212679170600623
HistGradientBoosting,2,1,24,6.785318323233713e-08,7.140458295390998e-06,2.525751826489987e-06,0.0,2.525751826489987e-06
HistGradientBoosting,2,2,23,9.339505353058614e-06,6.870550656988137e-05,3.5000497563517396e-05,0.0,3.5000497563517396e-05
HistGradientBoosting,2,3,24,7.303032344571567e-05,0.0003329510363798,0.00017389294032015682,0.08333333333333333,0.08315944039301318
HistGradientBoosting,2,4,23,0.0003356936806306,0.0010876433430606,0.0006536225781280869,0.043478260869565216,0.04282463829143713
HistGradientBoosting,2,5,24,0.0011134096538946,0.0041227606823032,0.0021519215833453917,0.041666666666666664,0.03951474508332127
HistGradientBoosting,2,6,23,0.0046335177365966,0.0294001227051838,0.013671359299481088,0.08695652173913043,0.07328516243964935
HistGradientBoosting,2,7,23,0.0305833918620981,0.3599701471478956,0.17353451603785697,0.34782608695652173,0.17429157091866476
HistGradientBoosting,2,8,24,0.4029059424391853,0.97557064320052,0.7778460994150115,0.5416666666666666,0.23617943274834485
HistGradientBoosting,2,9,23,0.9770628318879788,0.9987249466963578,0.9913219060473607,0.782608695652174,0.20871321039518675
HistGradientBoosting,2,10,24,0.9990020258072536,0.9999999850639084,0.9998353799924615,0.9583333333333334,0.041502046659128156
HistGradientBoosting,3,1,24,1.8913044256534227e-09,0.0001189326420531,2.7621520896122133e-05,0.125,0.12497237847910388
HistGradientBoosting,3,2,23,0.0001653016415181,0.0017188727095734,0.0007241613320455219,0.08695652173913043,0.08623236040708492
HistGradientBoosting,3,3,24,0.0018230163203123,0.0071061853924497,0.003969242809726409,0.20833333333333334,0.20436409052360693
HistGradientBoosting,3,4,23,0.007178342881467,0.0242267791877355,0.015114177618547575,0.17391304347826086,0.15879886585971328
HistGradientBoosting,3,5,24,0.0243453358109855,0.1374717665049855,0.06315587668674733,0.2916666666666667,0.22851078997991936
HistGradientBoosting,3,6,23,0.1504718958561897,0.3219574255736639,0.2517542835405409,0.30434782608695654,0.05259354254641563
HistGradientBoosting,3,7,23,0.3269874140839497,0.6555752420931824,0.5228274715002821,0.5217391304347826,0.0010883410654994874
HistGradientBoosting,3,8,24,0.6581767002330401,0.95965114971774,0.8327137871423543,0.4583333333333333,0.374380453809021
