Model,State,Point,Recall,Precision,Threshold,State_AUPRC,State_Prevalence
CatBoost,2,25,1.0,0.3222748815165877,0.0104304922826959,0.8926563570300081,0.28936170212765955
CatBoost,2,26,1.0,0.3238095238095238,0.0104839285156968,0.8926563570300081,0.28936170212765955
CatBoost,2,27,1.0,0.3253588516746411,0.0106253078665204,0.8926563570300081,0.28936170212765955
CatBoost,2,28,1.0,0.3269230769230769,0.0107669973057484,0.8926563570300081,0.28936170212765955
CatBoost,2,29,1.0,0.3285024154589372,0.0110565237451268,0.8926563570300081,0.28936170212765955
CatBoost,2,30,1.0,0.3300970873786408,0.0111912813175326,0.8926563570300081,0.28936170212765955
CatBoost,2,31,1.0,0.33170731707317075,0.0113936103257505,0.8926563570300081,0.28936170212765955
CatBoost,2,32,1.0,0.3333333333333333,0.0117453707780303,0.8926563570300081,0.28936170212765955
CatBoost,2,33,1.0,0.33497536945812806,0.0121756378932459,0.8926563570300081,0.28936170212765955
CatBoost,2,34,1.0,0.33663366336633666,0.0131630501344292,0.8926563570300081,0.28936170212765955
CatBoost,2,35,1.0,0.3383084577114428,0.013278024583349,0.8926563570300081,0.28936170212765955
CatBoost,2,36,1.0,0.34,0.0134303248804508,0.8926563570300081,0.28936170212765955
