Year,Model,Number_of_Months,Accuracy,Balanced_Accuracy,Macro_F1,State_1_Recall,State_2_Recall,State_3_Recall
2015,CNN-LSTM,12,0.6666666666666666,0.7738095238095237,0.6412698412698412,1.0,0.75,0.5714285714285714
2015,TCN,12,0.6666666666666666,0.7738095238095237,0.6412698412698412,1.0,0.75,0.5714285714285714
2015,XGBoost,12,0.6666666666666666,0.8095238095238094,0.6444444444444444,1.0,1.0,0.42857142857142855
2015,HistGradientBoosting,12,0.6666666666666666,0.48809523809523814,0.5064102564102564,0.0,0.75,0.7142857142857143
2015,Seasonal Baseline,12,0.5833333333333334,0.7261904761904762,0.580952380952381,1.0,0.75,0.42857142857142855
2016,CatBoost,12,0.4166666666666667,0.43333333333333335,0.40079365079365076,0.5,0.6,0.2
2016,Equal Soft Voting,12,0.5,0.5,0.49444444444444446,0.5,0.6,0.4
2016,CNN-LSTM,12,0.75,0.7000000000000001,0.7313131313131315,0.5,0.8,0.8
2016,TCN,12,0.8333333333333334,0.7666666666666666,0.791919191919192,0.5,0.8,1.0
2016,XGBoost,12,0.4166666666666667,0.43333333333333335,0.40079365079365076,0.5,0.6,0.2
2016,HistGradientBoosting,12,0.5,0.5,0.49444444444444446,0.5,0.6,0.4
2016,Seasonal Baseline,12,0.4166666666666667,0.43333333333333335,0.40079365079365076,0.5,0.6,0.2
2017,CatBoost,12,0.6666666666666666,0.6333333333333333,0.6296296296296295,0.8,0.6,0.5
2017,Equal Soft Voting,12,0.5833333333333334,0.5666666666666667,0.5674603174603173,0.6,0.6,0.5
2017,CNN-LSTM,12,0.6666666666666666,0.5333333333333333,0.5333333333333333,1.0,0.6,0.0
2017,TCN,12,0.75,0.7000000000000001,0.6888888888888888,1.0,0.6,0.5
2017,XGBoost,12,0.6666666666666666,0.6333333333333333,0.6296296296296295,0.8,0.6,0.5
2017,HistGradientBoosting,12,0.3333333333333333,0.3666666666666667,0.3444444444444444,0.2,0.4,0.5
2017,Seasonal Baseline,12,0.75,0.7000000000000001,0.6888888888888888,1.0,0.6,0.5
2018,CatBoost,12,0.6666666666666666,0.6666666666666666,0.6534391534391534,1.0,0.5,0.5
2018,Equal Soft Voting,12,0.6666666666666666,0.6666666666666666,0.6555555555555556,1.0,0.5,0.5
2018,CNN-LSTM,12,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.75,0.75,0.5
2018,TCN,12,0.8333333333333334,0.8333333333333334,0.8148148148148148,1.0,1.0,0.5
2018,XGBoost,12,0.6666666666666666,0.6666666666666666,0.6555555555555556,1.0,0.5,0.5
2018,HistGradientBoosting,12,0.6666666666666666,0.6666666666666666,0.6555555555555556,1.0,0.5,0.5
2018,Seasonal Baseline,12,0.75,0.75,0.7367724867724869,1.0,0.75,0.5
