Model,State,Threshold,TP,FN,FP,TN,Sensitivity,Specificity,Precision,F1,Youden_J,Predicted_Positive_Rate
CatBoost,2,0.17,65,3,35,132,0.9558823529411765,0.7904191616766467,0.65,0.7738095238095238,0.7463015146178233,0.425531914893617
CatBoost,2,0.18000000000000002,64,4,34,133,0.9411764705882353,0.7964071856287425,0.6530612244897959,0.7710843373493975,0.7375836562169777,0.41702127659574467
CatBoost,2,0.19,64,4,34,133,0.9411764705882353,0.7964071856287425,0.6530612244897959,0.7710843373493975,0.7375836562169777,0.41702127659574467
CatBoost,2,0.2,63,5,34,133,0.9264705882352942,0.7964071856287425,0.6494845360824743,0.7636363636363637,0.7228777738640366,0.4127659574468085
CatBoost,2,0.21000000000000002,62,6,31,136,0.9117647058823529,0.8143712574850299,0.6666666666666666,0.7701863354037267,0.726135963367383,0.39574468085106385
CatBoost,2,0.22,61,7,30,137,0.8970588235294118,0.8203592814371258,0.6703296703296703,0.7672955974842767,0.7174181049665376,0.3872340425531915
CatBoost,2,0.23,61,7,27,140,0.8970588235294118,0.8383233532934131,0.6931818181818182,0.7820512820512822,0.7353821768228248,0.37446808510638296
CatBoost,2,0.24000000000000002,61,7,27,140,0.8970588235294118,0.8383233532934131,0.6931818181818182,0.7820512820512822,0.7353821768228248,0.37446808510638296
CatBoost,2,0.25,61,7,26,141,0.8970588235294118,0.844311377245509,0.7011494252873564,0.7870967741935484,0.7413702007749208,0.3702127659574468
CatBoost,2,0.26,61,7,25,142,0.8970588235294118,0.8502994011976048,0.7093023255813954,0.7922077922077922,0.7473582247270167,0.3659574468085106
CatBoost,2,0.27,60,8,23,144,0.8823529411764706,0.8622754491017964,0.7228915662650602,0.7947019867549668,0.7446283902782671,0.35319148936170214
CatBoost,2,0.28,59,9,21,146,0.8676470588235294,0.874251497005988,0.7375,0.7972972972972973,0.7418985558295175,0.3404255319148936
CatBoost,2,0.29000000000000004,59,9,21,146,0.8676470588235294,0.874251497005988,0.7375,0.7972972972972973,0.7418985558295175,0.3404255319148936
CatBoost,2,0.3,59,9,21,146,0.8676470588235294,0.874251497005988,0.7375,0.7972972972972973,0.7418985558295175,0.3404255319148936
CatBoost,2,0.31,58,10,20,147,0.8529411764705882,0.8802395209580839,0.7435897435897436,0.7945205479452054,0.7331806974286721,0.33191489361702126
CatBoost,2,0.32,58,10,20,147,0.8529411764705882,0.8802395209580839,0.7435897435897436,0.7945205479452054,0.7331806974286721,0.33191489361702126
CatBoost,2,0.33,58,10,20,147,0.8529411764705882,0.8802395209580839,0.7435897435897436,0.7945205479452054,0.7331806974286721,0.33191489361702126
